Crop_Name,Soil_Type,Rainfall_Requirement,Temperature_Range,Previous_Crop,Next_Crop,Month_Planted,Month_Harvested,Growth_Duration,Region
Pulses,Red,400-1000 mm,18 - 42°C,Maize,Groundnut,March-May,June-July,175 days,Andhra Pradesh
Cotton,Black,600-1100 mm,27 - 37°C,Groundnut,Groundnut,October-December,March-April,112 days,Andhra Pradesh
Coffee,Laterite,1500-3000 mm,20 - 41°C,Groundnut,Pulses,March-May,June-July,139 days,Tamil Nadu
Jowar,Black,600-1100 mm,26 - 40°C,Bengal Gram,Cotton,October-December,March-April,93 days,Telangana
Jowar,Red,400-1000 mm,17 - 34°C,Jowar,Red Gram,October-December,March-April,96 days,Telangana
Tea,Laterite,1500-3000 mm,20 - 41°C,Jowar,Groundnut,June-July,September-October,118 days,Karnataka
Jowar,Red,400-1000 mm,18 - 44°C,Rice,Bengal Gram,October-December,March-April,162 days,Telangana
Sugarcane,Alluvial,500-1500 mm,24 - 45°C,Wheat,Mustard,March-May,June-July,91 days,Punjab
Rice,Black,600-1100 mm,24 - 43°C,Rice,Maize,June-July,September-October,156 days,Andhra Pradesh
Rice,Alluvial,500-1500 mm,24 - 38°C,Maize,Wheat,June-July,September-October,144 days,Punjab
Groundnut,Black,600-1100 mm,24 - 32°C,Rice,Wheat,June-July,September-October,139 days,Karnataka
Tea,Laterite,1500-3000 mm,16 - 33°C,Groundnut,Millets,March-May,June-July,154 days,Tamil Nadu
Groundnut,Black,600-1100 mm,29 - 31°C,Groundnut,Groundnut,October-December,March-April,119 days,Andhra Pradesh
Rice,Alluvial,500-1500 mm,25 - 36°C,Maize,Mustard,June-July,September-October,130 days,Punjab
Jowar,Red,400-1000 mm,27 - 38°C,Jowar,Bengal Gram,October-December,March-April,90 days,Telangana
Rice,Alluvial,500-1500 mm,23 - 34°C,Barley,Maize,June-July,September-October,95 days,Punjab
Vegetables,Alluvial,500-1500 mm,23 - 43°C,Barley,Barley,October-December,March-April,120 days,Uttar Pradesh
Sugarcane,Alluvial,500-1500 mm,20 - 32°C,Rice,Barley,October-December,March-April,107 days,Uttar Pradesh
Pulses,Red,400-1000 mm,15 - 37°C,Jowar,Jowar,March-May,June-July,128 days,Telangana
Pulses,Red,400-1000 mm,20 - 40°C,Rice,Groundnut,October-December,March-April,163 days,Andhra Pradesh
Coffee,Laterite,1500-3000 mm,20 - 39°C,Wheat,Jowar,March-May,June-July,166 days,Karnataka
Groundnut,Red,400-1000 mm,30 - 41°C,Sugarcane,Rice,October-December,March-April,133 days,Tamil Nadu
Sugarcane,Black,600-1100 mm,21 - 43°C,Cotton,Bengal Gram,March-May,June-July,163 days,Telangana
Coffee,Laterite,1500-3000 mm,27 - 35°C,Pulses,Pulses,June-July,September-October,114 days,Karnataka
Coffee,Laterite,1500-3000 mm,30 - 40°C,Groundnut,Pulses,October-December,March-April,108 days,Tamil Nadu
Millets,Red,400-1000 mm,29 - 38°C,Millets,Groundnut,June-July,September-October,128 days,Tamil Nadu
Millets,Red,400-1000 mm,22 - 40°C,Pulses,Maize,March-May,June-July,124 days,Andhra Pradesh
Jowar,Red,400-1000 mm,16 - 41°C,Jowar,Red Gram,October-December,March-April,179 days,Telangana
Maize,Alluvial,500-1500 mm,23 - 30°C,Maize,Mustard,June-July,September-October,109 days,Punjab
Rice,Black,600-1100 mm,24 - 39°C,Jowar,Red Gram,October-December,March-April,98 days,Telangana
Sugarcane,Alluvial,500-1500 mm,17 - 30°C,Rice,Rice,March-May,June-July,159 days,Punjab
Vegetables,Alluvial,500-1500 mm,30 - 41°C,Rice,Cotton,March-May,June-July,120 days,Punjab
Groundnut,Red,400-1000 mm,16 - 33°C,Wheat,Pulses,June-July,September-October,117 days,Karnataka
Pulses,Red,400-1000 mm,25 - 31°C,Pulses,Pulses,March-May,June-July,102 days,Tamil Nadu
Maize,Alluvial,500-1500 mm,29 - 35°C,Rice,Rice,October-December,March-April,96 days,Punjab
Jowar,Red,400-1000 mm,23 - 30°C,Rice,Bengal Gram,October-December,March-April,155 days,Telangana
Millets,Red,400-1000 mm,24 - 34°C,Barley,Bajra,October-December,March-April,143 days,Uttar Pradesh
Wheat,Alluvial,500-1500 mm,29 - 40°C,Maize,Barley,October-December,March-April,108 days,Punjab
Cotton,Red,400-1000 mm,19 - 45°C,Rice,Rice,March-May,June-July,133 days,Andhra Pradesh
Sugarcane,Black,600-1100 mm,28 - 34°C,Pulses,Pulses,October-December,March-April,155 days,Andhra Pradesh
Wheat,Alluvial,500-1500 mm,25 - 43°C,Cotton,Rice,October-December,March-April,113 days,Punjab
Oilseeds,Alluvial,500-1500 mm,17 - 40°C,Pulses,Lentils,March-May,June-July,170 days,Uttar Pradesh
Spices,Laterite,1500-3000 mm,17 - 37°C,Ragi,Jowar,March-May,June-July,109 days,Karnataka
Wheat,Alluvial,500-1500 mm,27 - 37°C,Wheat,Wheat,October-December,March-April,92 days,Uttar Pradesh
Jowar,Red,400-1000 mm,21 - 30°C,Groundnut,Rice,June-July,September-October,110 days,Karnataka
Jowar,Red,400-1000 mm,29 - 36°C,Jowar,Red Gram,October-December,March-April,149 days,Telangana
Jowar,Red,400-1000 mm,22 - 36°C,Barley,Lentils,March-May,June-July,93 days,Uttar Pradesh
Cashew,Laterite,1500-3000 mm,30 - 44°C,Millets,Rice,June-July,September-October,123 days,Tamil Nadu
Rubber,Laterite,1500-3000 mm,16 - 41°C,Rice,Millets,October-December,March-April,135 days,Tamil Nadu
Millets,Red,400-1000 mm,17 - 32°C,Wheat,Lentils,October-December,March-April,100 days,Uttar Pradesh
Vegetables,Alluvial,500-1500 mm,24 - 36°C,Rice,Rice,June-July,September-October,111 days,Punjab
Pulses,Red,400-1000 mm,23 - 39°C,Wheat,Rice,March-May,June-July,130 days,Uttar Pradesh
Ragi,Red,400-1000 mm,26 - 33°C,Millets,Pulses,June-July,September-October,120 days,Andhra Pradesh
Jowar,Black,600-1100 mm,20 - 41°C,Millets,Maize,October-December,March-April,100 days,Andhra Pradesh
Rice,Alluvial,500-1500 mm,25 - 32°C,Rice,Mustard,June-July,September-October,103 days,Punjab
Jowar,Red,400-1000 mm,19 - 36°C,Bajra,Pulses,June-July,September-October,160 days,Uttar Pradesh
Ragi,Red,400-1000 mm,25 - 45°C,Bengal Gram,Rice,October-December,March-April,163 days,Telangana
Ragi,Red,400-1000 mm,29 - 38°C,Rice,Rice,June-July,September-October,116 days,Karnataka
